epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	1.7210791110992432	17.1875	100.0	0.1
1	2	2	9.383651733398438	23.4375	100.0	0.1
1	3	3	17.920698165893555	18.75	100.0	0.1
1	4	4	17.887496948242188	17.1875	100.0	0.1
1	5	5	15.628623008728027	28.125	100.0	0.1
1	6	6	16.72513198852539	25.0	100.0	0.1
1	7	7	22.123743057250977	21.875	100.0	0.1
1	8	8	20.14182472229004	15.384614944458008	100.0	0.1
2	1	9	17.94426155090332	10.9375	100.0	0.1
2	2	10	12.365877151489258	15.625	100.0	0.1
2	3	11	10.51412296295166	23.4375	100.0	0.1
2	4	12	6.925852298736572	23.4375	100.0	0.1
2	5	13	7.906332969665527	28.125	100.0	0.1
2	6	14	3.7370193004608154	35.9375	100.0	0.1
2	7	15	2.85860276222229	25.0	100.0	0.1
2	8	16	9.892780303955078	15.384614944458008	100.0	0.1
3	1	17	8.375120162963867	25.0	100.0	0.1
3	2	18	4.039783954620361	17.1875	100.0	0.1
3	3	19	5.830864906311035	31.25	100.0	0.1
3	4	20	5.579691410064697	32.8125	100.0	0.1
3	5	21	7.478275299072266	34.375	100.0	0.1
3	6	22	7.205040454864502	40.625	100.0	0.1
3	7	23	6.79953670501709	26.5625	100.0	0.1
3	8	24	4.129014015197754	38.4615364074707	100.0	0.1
4	1	25	4.906686782836914	42.1875	100.0	0.1
4	2	26	4.643178462982178	34.375	100.0	0.1
4	3	27	4.966150760650635	39.0625	100.0	0.1
4	4	28	2.4095964431762695	46.875	100.0	0.1
4	5	29	5.105072498321533	35.9375	100.0	0.1
4	6	30	4.961743354797363	32.8125	100.0	0.1
4	7	31	3.1427969932556152	34.375	100.0	0.1
4	8	32	3.2389895915985107	38.4615364074707	100.0	0.1
5	1	33	3.2482588291168213	40.625	100.0	0.1
5	2	34	3.9122698307037354	37.5	100.0	0.1
5	3	35	1.930363655090332	53.125	100.0	0.1
5	4	36	3.3308801651000977	32.8125	100.0	0.1
5	5	37	2.244281053543091	48.4375	100.0	0.1
5	6	38	3.194868326187134	39.0625	100.0	0.1
5	7	39	3.5524511337280273	35.9375	100.0	0.1
5	8	40	2.7549452781677246	23.076923370361328	100.0	0.1
6	1	41	2.196429967880249	45.3125	100.0	0.1
6	2	42	2.1204209327697754	53.125	100.0	0.1
6	3	43	3.6195905208587646	39.0625	100.0	0.1
6	4	44	2.4173972606658936	50.0	100.0	0.1
6	5	45	1.9560173749923706	53.125	100.0	0.1
6	6	46	1.5330862998962402	57.8125	100.0	0.1
6	7	47	2.9654691219329834	39.0625	100.0	0.1
6	8	48	2.305697441101074	46.153846740722656	100.0	0.1
7	1	49	2.2949624061584473	43.75	100.0	0.1
7	2	50	2.220250368118286	39.0625	100.0	0.1
7	3	51	1.2181559801101685	56.25	100.0	0.1
7	4	52	1.5750807523727417	43.75	100.0	0.1
7	5	53	1.9884446859359741	32.8125	100.0	0.1
7	6	54	1.4623502492904663	39.0625	100.0	0.1
7	7	55	1.3259950876235962	54.6875	100.0	0.1
7	8	56	2.1474950313568115	46.153846740722656	100.0	0.1
8	1	57	1.5115755796432495	51.5625	100.0	0.1
8	2	58	3.0548107624053955	43.75	100.0	0.1
8	3	59	1.5593388080596924	57.8125	100.0	0.1
8	4	60	3.4185233116149902	56.25	100.0	0.1
8	5	61	1.3847272396087646	64.0625	100.0	0.1
8	6	62	2.1140384674072266	56.25	100.0	0.1
8	7	63	1.6559854745864868	48.4375	100.0	0.1
8	8	64	1.3493682146072388	76.9230728149414	100.0	0.1
9	1	65	2.5639822483062744	50.0	100.0	0.1
9	2	66	2.1431121826171875	50.0	100.0	0.1
9	3	67	1.9681551456451416	48.4375	100.0	0.1
9	4	68	1.339637279510498	56.25	100.0	0.1
9	5	69	1.54069983959198	53.125	100.0	0.1
9	6	70	1.7420090436935425	42.1875	100.0	0.1
9	7	71	1.7057411670684814	56.25	100.0	0.1
9	8	72	2.5751867294311523	30.769229888916016	100.0	0.1
10	1	73	1.3688315153121948	57.8125	100.0	0.1
10	2	74	2.015580177307129	48.4375	100.0	0.1
